序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,CYL_TIMEOUT,DINT,,3000,TRUE,,气缸到位超时阈值(ms),,
2,COMM_HEART_TIMEOUT,DINT,,3000,TRUE,,通讯失联阈值(ms 通讯域 超时安全停 细则17),,
3,COMM_HEART_TICK,DINT,,1000,TRUE,,出向心跳自增周期(ms),,
4,RTU_PORT,INT,,0,TRUE,,RS485端口号(COM0 须配ModbusRTU主站),,
5,DRV_ADDR,INT,,1,TRUE,,C20驱动器Modbus站号(F08.00 默认1),,
6,DRV_SPD_REG,DINT,,8193,TRUE,,转速设定寄存器(H2001 0~3000RPM),,
7,DRV_RST_PULSE,DINT,,500,TRUE,,CLR复位端子脉冲宽(ms),,
8,COMM_DEGRADED_TIMEOUT,DINT,,1000,TRUE,,通讯降级阈值(ms 通讯域 冻结新命令 动作继续 细则18),,
9,ROLLER_SPEED_LEVEL,INT,,1,TRUE,,FB_Roller速度档位选择(1/2/3),,
10,ROLLER_SPEED_LOW,INT,,100,TRUE,,辊筒低速档(% 常量化禁魔法数字),,
11,ROLLER_SPEED_MID,INT,,75,TRUE,,辊筒中速档(%),,
12,ROLLER_SPEED_HIGH,INT,,50,TRUE,,辊筒高速档(%),,
13,ALMIDX_ESTOP,INT,,1,TRUE,,报警编号: 急停锁存(bit0+1),,
14,ALMIDX_CYL,INT,,2,TRUE,,报警编号: 气缸超时(bit1+1),,
15,ALMIDX_COMM,INT,,3,TRUE,,报警编号: 通讯断讯(bit2+1),,
16,ALMIDX_DEGRADED,INT,,4,TRUE,,报警编号: 通讯降级(bit3+1),,
